Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-11-06,97.27,97.27,97.1,97.12,0.155,97.11,3330.0,11936.0
2015-11-05,97.27,97.29,97.24,97.255,0.015,97.265,4037.0,12164.0
2015-11-04,97.23,97.27,97.23,97.26,0.03,97.25,3229.0,11745.0
2015-11-03,97.25,97.26,97.215,97.225,0.015,97.22,1620.0,12027.0
2015-11-02,97.245,97.285,97.23,97.24,0.03,97.235,937.0,12266.0
2015-10-30,97.225,97.275,97.225,97.27,0.055,97.265,917.0,12146.0
2015-10-29,97.3,97.315,97.21,97.215,0.085,97.21,2101.0,12189.0
2015-10-28,97.335,97.335,97.265,97.295,0.045,97.295,1711.0,12077.0
2015-10-27,97.315,97.36,97.315,97.33,0.04,97.34,840.0,12184.0
2015-10-26,97.26,97.305,97.26,97.3,0.045,97.3,744.0,12245.0
2015-10-23,97.275,97.275,97.22,97.25,0.05,97.255,858.0,12484.0
2015-10-22,97.29,97.33,97.285,97.31,0.005,97.305,498.0,12522.0
2015-10-21,97.28,97.325,97.275,97.315,0.045,97.3,450.0,12600.0
2015-10-20,97.28,97.31,97.245,97.255,0.05,97.255,386.0,12563.0
2015-10-19,97.285,97.31,97.265,97.305,0.015,97.305,495.0,12491.0
2015-10-16,97.32,97.355,97.3,97.305,0.01,97.32,665.0,12447.0
2015-10-15,97.39,97.39,97.33,97.33,0.045,97.33,1076.0,12453.0
2015-10-14,97.275,97.385,97.275,97.385,0.105,97.375,1189.0,12333.0
2015-10-13,97.26,97.285,97.235,97.28,0.015,97.27,1989.0,11972.0
2015-10-12,97.26,97.26,97.26,97.26,0.055,97.255,59.0,11955.0
2015-10-09,97.17,97.215,97.145,97.215,0.025,97.2,373.0,12037.0
2015-10-08,97.26,97.265,97.16,97.175,0.06,97.175,934.0,12364.0
2015-10-07,97.225,97.24,97.205,97.225,0.02,97.235,838.0,12642.0
2015-10-06,97.23,97.26,97.2,97.26,0.025,97.255,510.0,12547.0
2015-10-05,97.31,97.33,97.215,97.215,0.085,97.23,1217.0,12611.0
2015-10-02,97.26,97.415,97.255,97.31,0.05,97.315,1680.0,12672.0
2015-10-01,97.265,97.305,97.255,97.27,0.01,97.265,1074.0,12722.0
2015-09-30,97.245,97.28,97.22,97.275,0.005,97.275,1261.0,12897.0
2015-09-29,97.22,97.285,97.19,97.27,0.06,97.27,2164.0,13082.0
2015-09-28,97.145,97.22,97.125,97.22,0.12,97.21,972.0,13167.0
2015-09-25,97.125,97.125,97.05,97.085,0.035,97.09,1559.0,13199.0
2015-09-24,97.09,97.16,97.09,97.115,0.03,97.125,1913.0,12955.0
2015-09-23,97.07,97.12,97.055,97.09,0.01,97.095,1316.0,13051.0
2015-09-22,97.045,97.115,97.045,97.095,0.115,97.105,907.0,12993.0
2015-09-21,97.065,97.065,96.99,97.005,0.085,96.99,1055.0,12889.0
2015-09-18,97.005,97.08,97.005,97.075,0.105,97.075,2488.0,12698.0
2015-09-17,96.925,96.995,96.91,96.99,0.065,96.97,2160.0,12582.0
2015-09-16,96.94,96.945,96.895,96.92,0.02,96.905,1391.0,12465.0
2015-09-15,97.005,97.035,96.915,96.915,0.1,96.925,3615.0,12640.0
2015-09-14,97.03,97.05,97.005,97.015,0.005,97.025,1581.0,11957.0
2015-09-11,97.035,97.04,97.02,97.025,0.02,97.03,381.0,11963.0
2015-09-10,97.035,97.035,96.99,96.99,0.065,97.01,307.0,11944.0
2015-09-09,96.985,97.08,96.97,97.065,0.045,97.075,192.0,11937.0
2015-09-08,97.08,97.09,97.02,97.035,0.06,97.03,120.0,11939.0
2015-09-04,97.055,97.1,97.055,97.095,0.085,97.09,293.0,11994.0
2015-09-03,97.01,97.02,96.985,97.015,0.01,97.005,123.0,11989.0
2015-09-02,96.99,97.06,96.985,96.99,0.04,96.995,498.0,12034.0
2015-09-01,97.025,97.055,96.965,97.055,0.05,97.035,231.0,12160.0
2015-08-31,97.0,97.045,96.965,96.965,0.005,96.985,115.0,12150.0
2015-08-28,96.965,97.03,96.945,96.995,0.01,96.99,627.0,12109.0
2015-08-27,97.01,97.025,96.94,96.94,0.005,96.98,758.0,12144.0
2015-08-26,97.045,97.105,96.95,96.965,0.04,96.985,1138.0,12155.0
