Equity Holding,Shares,Market Value,Country
5N Plus Inc,603000,1000000,Canada
A&W Revenue Royalties Income Fund,50000,1000000,Canada
ACE Aviation Holdings Inc,1500000,6000000,Canada
AGF Management Ltd,832000,7000000,Canada
ARC Resources Ltd,1007000,22000000,Canada
ATS Automation Tooling Systems Inc,242000,3000000,Canada
Absolute Software Corp,340000,3000000,Canada
Advantage Oil & Gas Ltd,702000,5000000,Canada
Africa Oil Corp,1582000,3000000,Canada
Ag Growth International Inc,112000,6000000,Canada
Agnico Eagle Mines Ltd,2306000,81000000,Canada
Agrium Inc,1315000,174000000,Canada
Aimia Inc,1637000,21000000,Canada
Ainsworth Lumber Co Ltd,995000,3000000,Canada
Air Canada,1985000,25000000,Canada
Alacer Gold Corp,2335000,6000000,Canada
Alamos Gold Inc,946000,7000000,Canada
Alaris Royalty Corp,506000,17000000,Canada
Algonquin Power & Utilities Corp,1098000,10000000,Canada
Alimentation Couche-Tard Inc,4709000,238000000,Canada
Allied Properties Real Estate Investment Trust,237000,10000000,Canada
AltaGas Ltd,518000,22000000,Canada
Altius Minerals Corp,282000,4000000,Canada
Amaya Inc,728000,22000000,Canada
Amica Mature Lifestyles Inc,263000,2000000,Canada
Argonaut Gold Inc,1221000,2000000,Canada
Artis Real Estate Investment Trust,72000,1000000,Canada
Asanko Gold Inc,1482000,3000000,Canada
Atco Ltd/Canada,480000,22000000,Canada
Atlantic Power Corp,337000,1000000,Canada
Atrium Mortgage Investment Corp,241000,3000000,Canada
AuRico Gold Inc,1417000,5000000,Canada
AutoCanada Inc,126000,4000000,Canada
B2Gold Corp,6520000,12000000,Canada
BCE Inc,2790000,150000000,Canada
BMTC Group Inc,164000,3000000,Canada
BRP Inc/CA,130000,3000000,Canada
Badger Daylighting Ltd,253000,7000000,Canada
Ballard Power Systems Inc,1094000,3000000,Canada
Bank of Montreal,7038000,534000000,Canada
Bank of Nova Scotia/The,12748000,810000000,Canada
Bankers Petroleum Ltd,1605000,4000000,Canada
Barrick Gold Corp,6953000,96000000,Canada
Baytex Energy Corp,633000,13000000,Canada
Black Diamond Group Ltd,247000,3000000,Canada
BlackBerry Ltd,4688000,53000000,Canada
BlackPearl Resources Inc,1556000,1000000,Canada
Boardwalk Real Estate Investment Trust,437000,26000000,Canada
Bombardier Inc A,494000,1000000,Canada
Bombardier Inc B,3094000,8000000,Canada
Bonterra Energy Corp,110000,4000000,Canada
Boston Pizza Royalties Income Fund,60000,1000000,Canada
Boyd Group Income Fund,72000,4000000,Canada
Brookfield Asset Management Inc,6489000,440000000,Canada
Brookfield Canada Office Properties,165000,5000000,Canada
CAE Inc,869000,13000000,Canada
CCL Industries Inc,287000,41000000,Canada
CGI Group Inc,2577000,138000000,Canada
CI Financial Corp,2329000,82000000,Canada
COM DEV International Ltd,714000,3000000,Canada
CT Real Estate Investment Trust,315000,4000000,Canada
Calfrac Well Services Ltd,259000,2000000,Canada
Calloway Real Estate Investment Trust,718000,21000000,Canada
Cameco Corp,2007000,35000000,Canada
CanElson Drilling Inc,446000,2000000,Canada
Canaccord Genuity Group Inc,1130000,7000000,Canada
Canacol Energy Ltd,985000,3000000,Canada
Canadian Apartment Properties REIT,1300000,38000000,Canada
Canadian Energy Services & Technology Corp,542000,3000000,Canada
Canadian Imperial Bank of Commerce/Canada,4161000,382000000,Canada
Canadian National Railway Co,6532000,554000000,Canada
Canadian Natural Resources Ltd,7566000,294000000,Canada
Canadian Pacific Railway Ltd,1212000,281000000,Canada
Canadian Real Estate Investment Trust,704000,33000000,Canada
Canadian Solar Inc,354000,15000000,Canada
Canadian Tire Corp Ltd,525000,68000000,Canada
Canadian Utilities Ltd A,321000,13000000,Canada
Canadian Utilities Ltd B,200000,8000000,Canada
Canadian Western Bank,558000,15000000,Canada
Canam Group Inc,320000,4000000,Canada
Canfor Corp,747000,19000000,Canada
Canfor Pulp Products Inc,297000,4000000,Canada
Canyon Services Group Inc,299000,2000000,Canada
Capital Power Corp,1231000,30000000,Canada
Capstone Infrastructure Corp,646000,2000000,Canada
Capstone Mining Corp,3922000,5000000,Canada
Cargojet Inc,51000,1000000,Canada
Cascades Inc,406000,3000000,Canada
Catamaran Corp,2355000,178000000,Canada
Celestica Inc,1384000,19000000,Canada
Cenovus Energy Inc,4009000,86000000,Canada
Centerra Gold Inc,1135000,7000000,Canada
Cequence Energy Ltd,1199000,1000000,Canada
Cervus Equipment Corp,90000,2000000,Canada
Chartwell Retirement Residences,1444000,18000000,Canada
Chemtrade Logistics Income Fund,57000,1000000,Canada
China Gold International Resources Corp Ltd,2240000,3000000,Canada
Choice Properties Real Estate Investment Trust,514000,6000000,Canada
Chorus Aviation Inc,685000,4000000,Canada
Cineplex Inc,523000,26000000,Canada
Cipher Pharmaceuticals Inc,161000,2000000,Canada
Clearwater Seafoods Inc,195000,3000000,Canada
Cogeco Cable Inc,312000,21000000,Canada
Cogeco Inc,69000,4000000,Canada
Cominar Real Estate Investment Trust,832000,16000000,Canada
Computer Modelling Group Ltd,352000,4000000,Canada
Concordia Healthcare Corp,120000,10000000,Canada
Conifex Timber Inc,157000,1000000,Canada
Constellation Software Inc/Canada,199000,87000000,Canada
Continental Gold Ltd,668000,1000000,Canada
Copper Mountain Mining Corp,1087000,1000000,Canada
Corus Entertainment Inc,610000,12000000,Canada
Cott Corp,725000,9000000,Canada
Crescent Point Energy Corp,2011000,57000000,Canada
DH Corp,553000,21000000,Canada
DHX Media Ltd,863000,8000000,Canada
DREAM Unlimited Corp,388000,4000000,Canada
Denison Mines Corp,3469000,4000000,Canada
Descartes Systems Group Inc/The,520000,10000000,Canada
Detour Gold Corp,1468000,16000000,Canada
DirectCash Payments Inc,95000,2000000,Canada
Dollarama Inc,1123000,79000000,Canada
Dominion Diamond Corp,1089000,24000000,Canada
Dorel Industries Inc,198000,7000000,Canada
Dream Global Real Estate Investment Trust,556000,5000000,Canada
Dream Industrial Real Estate Investment Trust,376000,3000000,Canada
Dundee Corp,370000,4000000,Canada
Dundee Precious Metals Inc,428000,1000000,Canada
E-L Financial Corp Ltd,29000,19000000,Canada
EXFO Inc,230000,1000000,Canada
Eldorado Gold Corp,6326000,37000000,Canada
Element Financial Corp,3259000,56000000,Canada
Emera Inc,1269000,52000000,Canada
Empire Co Ltd,512000,45000000,Canada
Enbridge Inc,4399000,268000000,Canada
Enbridge Income Fund Holdings Inc,450000,17000000,Canada
Encana Corp,2879000,41000000,Canada
Endeavour Silver Corp,1700000,4000000,Canada
Enerflex Ltd,398000,6000000,Canada
Enghouse Systems Ltd,59000,3000000,Canada
Ensign Energy Services Inc,419000,4000000,Canada
Equitable Group Inc,116000,7000000,Canada
Evertz Technologies Ltd,194000,3000000,Canada
Exchange Income Corp,141000,3000000,Canada
Exco Technologies Ltd,186000,3000000,Canada
Extendicare Inc,916000,7000000,Canada
Fairfax Financial Holdings Ltd,249000,177000000,Canada
Fiera Capital Corp,122000,2000000,Canada
Finning International Inc,2057000,48000000,Canada
Firm Capital Mortgage Investment Corp,206000,3000000,Canada
First Capital Realty Inc,347000,7000000,Canada
First Majestic Silver Corp,1111000,8000000,Canada
First National Financial Corp,144000,3000000,Canada
First Quantum Minerals Ltd,5132000,79000000,Canada
FirstService Corp/Canada,393000,32000000,Canada
Fortis Inc/Canada,1803000,70000000,Canada
Fortuna Silver Mines Inc,1561000,7000000,Canada
Franco-Nevada Corp,1466000,90000000,Canada
Freehold Royalties Ltd,212000,4000000,Canada
GLENTEL Inc,126000,3000000,Canada
Genworth MI Canada Inc,454000,13000000,Canada
George Weston Ltd,503000,50000000,Canada
Gibson Energy Inc,806000,21000000,Canada
Gildan Activewear Inc,1955000,73000000,Canada
Gluskin Sheff + Associates Inc,258000,7000000,Canada
Gold Reserve Inc,429000,2000000,Canada
Goldcorp Inc,7423000,170000000,Canada
Gran Tierra Energy Inc,7465000,26000000,Canada
Granite Real Estate Investment Trust,231000,10000000,Canada
Great-West Lifeco Inc,2386000,87000000,Canada
Guyana Goldfields Inc,1376000,4000000,Canada
H&R Real Estate Investment Trust,932000,22000000,Canada
HNZ Group Inc,73000,1000000,Canada
Heroux-Devtek Inc,238000,2000000,Canada
High Liner Foods Inc,191000,5000000,Canada
Home Capital Group Inc,718000,31000000,Canada
HudBay Minerals Inc,1708000,18000000,Canada
Hudson's Bay Co,345000,9000000,Canada
Husky Energy Inc,768000,20000000,Canada
IAMGOLD Corp,2516000,6000000,Canada
IGM Financial Inc,421000,19000000,Canada
IMAX Corp,175000,7000000,Canada
Imperial Metals Corp,406000,5000000,Canada
Imperial Oil Ltd,665000,34000000,Canada
Industrial Alliance Insurance & Financial Services Inc,980000,42000000,Canada
InnVest Real Estate Investment Trust,458000,3000000,Canada
Innergex Renewable Energy Inc,596000,7000000,Canada
