Asset Class,Security Description,Exposure,Quantity
Equity,3M Ord Shs,2992189,21051
Equity,A O Smith Ord Shs,1045062,16200
Equity,Abbott Laboratories Ord Shs,6468952,142834
Equity,AbbVie Ord Shs,10716608,171713
Equity,Acadia Healthcare Company Ord Shs,1109180,15188
Equity,Accenture Ord Shs Class A,547992,5813
Equity,Activision Blizzard Ord Shs,1740704,60800
Equity,Acuity Brands Ord Shs,1348306,6919
Equity,Adobe System Ord Shs,2637988,33575
Equity,Advance Auto Parts Ord Shs,1840125,10500
Equity,Aetna Ord Shs,6733776,58800
Equity,Agios Pharmaceuticals Ord Shs,1818720,21050
Equity,Air Products and Chemicals Ord Shs,2126856,15243
Equity,Airgas Ord Shs,472948,4900
Equity,Akamai Technologies Ord Shs,2425895,34019
Equity,Akorn Ord Shs,1349637,33919
Equity,Alaska Air Group Ord Shs,2665016,35600
Equity,Alcoa Ord Shs,633547,67042
Equity,Alexandria Real Estate Equities REIT,432702,5032
Equity,Alexion Pharmaceuticals Ord Shs,1568307,9108
Equity,Align Technology Ord Shs,526380,9300
Equity,Allergan Ord Shs,2677468,8815
Equity,Allstate Ord Shs,2008795,34468
Equity,Alnylam Pharmaceuticals Ord Shs,2216784,21541
Equity,Altria Group Ord Shs,12069752,225266
Equity,Amazon Com Ord Shs,25500891,49720
Equity,Amerco Ord Shs,711664,1900
Equity,American Airlines Group Ord Shs,434861,11156
Equity,American Financial Group Ord Shs,566292,8200
Equity,American International Group Ord Shs,3779034,62629
Equity,American Water Works Ord Shs,1129072,21738
Equity,Ameriprise Finance Ord Shs,2760415,24500
Equity,AmerisourceBergen Ord Shs,3795518,37940
Equity,Amgen Ord Shs,13013921,85742
Equity,Amphenol Ord Shs Class A,1101969,21046
Equity,AMTRUST FINANCIAL SERVICES,465956,8013
Equity,ANSYS Ord Shs,496160,5600
Equity,Anthem Ord Shs,6002242,42554
Equity,Aon Ord Shs Class A,1065216,11400
Equity,Apartment Investment and Management REIT Class A,1156563,32100
Equity,APPLE,67512005,598723
Equity,Applied Material Ord Shs,704941,43826
Equity,Arch Capital Group Ord Shs,887640,13000
Equity,Archer Daniels Midland Ord Shs,1092762,24289
Equity,ARRIS Group Ord Shs,599734,22700
Equity,Arrow Electronics Ord Shs,480912,8600
Equity,Ashland Ord Shs,692802,6600
Equity,athenahealth Ord Shs,678147,5100
Equity,Atmos Energy Ord Shs,498589,9100
Equity,AutoDesk Ord Shs,434915,9303
Equity,Automatic Data Processing Ord Shs,4601468,59512
Equity,Autonation Ord Shs,879648,14700
Equity,AutoZone Ord Shs,1910977,2669
Equity,Avago Technologies Ord Shs,303336,2408
Equity,AvalonBay Communities REIT,1439983,8724
Equity,Avis Budget Group Ord Shs,1866699,42300
Equity,Ball Ord Shs,1436838,21800
Equity,Bank of New York Mellon Ord Shs,1962379,49306
Equity,Becton Dickinson Ord Shs,2190746,15535
Equity,Berkshire Hathaway Ord Shs Class B,1888356,14088
Equity,Best Buy Ord Shs,1620675,44112
Equity,Biogen Inc Ord Shs,6385409,21478
Equity,BioMarin Pharmaceutical Ord Shs,3924114,30363
Equity,BlackRock Ord Shs,3123910,10328
Equity,bluebird bio Ord Shs,2005631,15072
Equity,Boeing Ord Shs,1029628,7879
Equity,Booz Allen Hamilton Holding Ord Shs Class A,393798,14749
Equity,Boston Properties REIT,1664078,14677
Equity,Boston Scientific Ord Shs,2317117,138418
Equity,Brinker International Ord Shs,658812,12400
Equity,Bristol Myers Squibb Ord Shs,10193099,171399
Equity,Brixmor Property Group Ord Shs,926857,40616
Equity,Broadridge Financial Solutions Ord Shs,418625,7930
Equity,Brocade Communications Systems Ord Shs,1084170,101800
Equity,Brookdale Senior Living Ord Shs,534690,19500
Equity,Brown Forman Ord Shs Class B,1219874,12435
Equity,Brunswick Ord Shs,830157,16700
Equity,C R Bard Ord Shs,667800,3446
Equity,Cabelas Ord Shs,494670,11000
Equity,Cadence Design Systems Ord Shs,472472,23600
Equity,Camden Property Trust REIT,768416,10668
Equity,Cardinal Health Ord Shs,2797180,34000
Equity,Carmax Ord Shs,1486326,24366
Equity,Carnival Ord Shs,2592255,52656
Equity,Carters Ord Shs,756987,7700
Equity,CDK Global Ord Shs,325280,6566
Equity,CDW Ord Shs,679248,17088
Equity,Celgene Ord Shs,11082989,93860
Equity,Centene Ord Shs,2235930,36227
Equity,Cerner Ord Shs,2660250,43074
Equity,CF Industries Holdings Ord Shs,304171,5301
Equity,CH Robinson Worldwide Ord Shs,415773,6166
Equity,Charles Schwab Ord Shs,1192172,39242
Equity,Charter Communications Ord Shs Class A,2607920,14360
Equity,Cheniere Energy Ord Shs,1181223,19006
Equity,Chipotle Mexican Grill Ord Shs,2244342,3161
Equity,Church And Dwight Ord Shs,1294200,15000
Equity,Cincinnati Financial Ord Shs,1360580,26000
Equity,Cinemark Holdings Ord Shs,561690,15800
Equity,Cintas Ord Shs,1402505,16502
Equity,Cisco Systems Ord Shs,9805414,378880
Equity,Clorox Ord Shs,689588,6203
Equity,CME Group Ord Shs Class A,4356328,46128
Equity,CMS Energy Ord Shs,327472,9990
Equity,Coca-Cola Enterprises Ord Shs,486426,9447
Equity,Cognizant Technology Solutions Ord Shs Class A,3712579,58986
