Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-11-06,99.1,99.11,98.96,99.03,0.07,99.025,393794.0,1012087.0
2015-11-05,99.105,99.12,99.09,99.095,0.005,99.095,209092.0,989753.0
2015-11-04,99.13,99.135,99.08,99.1,0.035,99.09,210718.0,979914.0
2015-11-03,99.14,99.14,99.115,99.13,0.005,99.125,116025.0,979920.0
2015-11-02,99.155,99.16,99.13,99.135,0.025,99.13,167500.0,977955.0
2015-10-30,99.16,99.17,99.135,99.155,,99.155,195293.0,974633.0
2015-10-29,99.18,99.19,99.15,99.16,0.035,99.155,256797.0,983589.0
2015-10-28,99.275,99.28,99.17,99.18,0.09,99.19,244623.0,977753.0
2015-10-27,99.265,99.295,99.255,99.275,0.02,99.28,117084.0,977792.0
2015-10-26,99.25,99.27,99.24,99.265,0.015,99.26,99234.0,978308.0
2015-10-23,99.28,99.285,99.235,99.245,0.05,99.245,225507.0,973156.0
2015-10-22,99.275,99.31,99.265,99.28,0.015,99.295,154019.0,971353.0
2015-10-21,99.275,99.285,99.265,99.275,0.01,99.28,104394.0,977044.0
2015-10-20,99.295,99.31,99.26,99.27,0.025,99.27,106083.0,971233.0
2015-10-19,99.275,99.3,99.27,99.3,0.02,99.295,113224.0,962664.0
2015-10-16,99.29,99.295,99.265,99.275,0.015,99.275,99616.0,955626.0
2015-10-15,99.345,99.345,99.285,99.285,0.05,99.29,197679.0,959924.0
2015-10-14,99.265,99.35,99.265,99.345,0.085,99.34,239579.0,944982.0
2015-10-13,99.23,99.27,99.225,99.265,0.03,99.255,127855.0,944013.0
2015-10-12,99.225,99.235,99.21,99.235,0.005,99.225,19030.0,947627.0
2015-10-09,99.23,99.24,99.205,99.225,0.015,99.22,147819.0,942431.0
2015-10-08,99.235,99.26,99.205,99.225,,99.235,148968.0,949010.0
2015-10-07,99.26,99.26,99.22,99.23,0.02,99.235,118755.0,945888.0
2015-10-06,99.245,99.27,99.245,99.26,0.01,99.255,115972.0,936733.0
2015-10-05,99.27,99.29,99.235,99.245,0.035,99.245,154352.0,941399.0
2015-10-02,99.195,99.325,99.18,99.275,0.085,99.28,385537.0,958533.0
2015-10-01,99.22,99.22,99.185,99.19,0.015,99.195,135805.0,965522.0
2015-09-30,99.215,99.225,99.18,99.215,0.015,99.21,142742.0,963327.0
2015-09-29,99.19,99.23,99.175,99.22,0.03,99.225,153064.0,957347.0
2015-09-28,99.165,99.2,99.155,99.19,0.035,99.195,144052.0,948984.0
2015-09-25,99.155,99.18,99.115,99.17,0.02,99.16,229324.0,955001.0
2015-09-24,99.155,99.205,99.14,99.175,0.025,99.18,145082.0,951838.0
2015-09-23,99.16,99.18,99.145,99.155,0.015,99.155,100688.0,957383.0
2015-09-22,99.12,99.18,99.115,99.165,0.05,99.17,134852.0,957366.0
2015-09-21,99.14,99.145,99.115,99.12,0.03,99.12,110956.0,947562.0
2015-09-18,99.135,99.17,99.13,99.145,0.03,99.15,166669.0,953535.0
2015-09-17,99.005,99.145,99.005,99.14,0.11,99.12,254791.0,943925.0
2015-09-16,99.005,99.04,98.99,99.005,,99.01,211108.0,954055.0
2015-09-15,99.07,99.075,98.995,99.0,0.055,99.01,248248.0,948006.0
2015-09-14,99.075,99.085,99.06,99.065,0.015,99.065,147134.0,996992.0
2015-09-11,99.05,99.08,99.045,99.075,0.025,99.08,160535.0,1018883.0
2015-09-10,99.06,99.075,99.045,99.055,,99.055,194625.0,1021713.0
2015-09-09,99.065,99.07,99.035,99.055,0.005,99.055,239990.0,1040446.0
2015-09-08,99.08,99.09,99.055,99.065,0.03,99.06,136441.0,1042112.0
2015-09-04,99.085,99.15,99.04,99.08,0.005,99.09,256112.0,1044352.0
2015-09-03,99.075,99.1,99.065,99.085,0.015,99.085,149037.0,1046966.0
2015-09-02,99.075,99.085,99.05,99.075,,99.07,158171.0,1049123.0
2015-09-01,99.01,99.08,99.005,99.075,0.06,99.07,190128.0,1056025.0
2015-08-31,99.035,99.045,98.985,99.005,0.015,99.01,119846.0,1049704.0
2015-08-28,99.075,99.095,99.01,99.03,0.06,99.025,257263.0,1059263.0
2015-08-27,99.1,99.12,99.05,99.075,0.02,99.085,203650.0,1064387.0
2015-08-26,99.11,99.14,99.055,99.1,0.045,99.105,281829.0,1068578.0
2015-08-25,99.115,99.115,99.055,99.11,0.065,99.06,303967.0,1058588.0
2015-08-24,99.045,99.175,99.035,99.115,0.095,99.125,485852.0,1004721.0
2015-08-21,98.985,99.045,98.98,99.035,0.065,99.03,205790.0,990224.0
2015-08-20,98.965,98.99,98.95,98.98,0.01,98.965,160265.0,993823.0
2015-08-19,98.9,98.985,98.885,98.965,0.075,98.975,240420.0,994384.0
2015-08-18,98.9,98.92,98.885,98.9,,98.9,118300.0,979996.0
2015-08-17,98.875,98.915,98.875,98.905,0.03,98.9,112596.0,979514.0
2015-08-14,98.89,98.905,98.865,98.87,0.02,98.87,134177.0,980342.0
2015-08-13,98.93,98.95,98.885,98.885,0.05,98.89,185113.0,987406.0
